amount,transaction_time_hour,transaction_frequency_24h,merchant_category,location_risk_score,device_risk_score,distance_from_prev_km,prev_amount_ratio,account_age_days,failed_transactions_24h,is_international,is_online,is_fraud
31.59,11,2,travel,0.281,0.06,8.2,1.01,2489,0,0,1,0
73.17,8,1,gas_transport,0.116,0.39,1.2,0.89,3093,0,0,0,0
11.41,8,2,clothing,0.106,0.038,13.0,1.23,2728,0,1,0,0
154.16,9,2,dining,0.082,0.049,5.0,0.95,2877,0,0,0,0
97.57,9,4,entertainment,0.02,0.067,1.7,1.26,3025,0,0,0,0
32.11,21,1,travel,0.132,0.038,1.1,0.74,1401,0,0,1,0
5.0,15,1,entertainment,0.133,0.5,26.5,1.43,3325,0,0,0,0
34.42,13,3,electronics,0.341,0.151,38.3,1.06,794,0,0,1,0
63.02,18,2,entertainment,0.111,0.125,9.8,1.34,2385,1,0,0,0
40.36,15,1,grocery,0.331,0.225,30.2,0.87,2985,0,0,1,0
68.3,12,1,electronics,0.292,0.093,1.5,0.72,2076,0,0,1,0
46.43,12,4,grocery,0.188,0.079,5.4,0.87,522,0,0,1,0
34.58,22,4,health_beauty,0.1,0.495,11.9,1.32,1081,0,0,0,0
64.44,14,1,dining,0.151,0.174,4.1,0.92,3212,1,0,0,0
17.63,6,3,dining,0.01,0.078,46.5,0.91,3324,0,0,1,0
155.74,13,4,grocery,0.036,0.028,16.7,0.76,2938,0,0,1,0
133.28,0,1,health_beauty,0.061,0.127,14.8,0.99,1802,0,0,1,0
97.16,16,1,grocery,0.403,0.092,26.1,1.1,981,0,0,1,0
26.89,8,2,electronics,0.233,0.296,0.6,0.87,1616,1,0,1,0
36.39,11,1,health_beauty,0.053,0.036,4.0,0.92,1895,0,0,0,0
53.73,20,1,grocery,0.072,0.089,4.8,1.58,2222,0,0,0,0
82.53,7,3,dining,0.06,0.098,18.4,0.81,2892,0,0,1,0
44.19,13,3,electronics,0.063,0.107,14.2,0.9,2027,1,0,1,0
91.24,16,1,retail,0.165,0.176,8.7,0.72,2351,0,0,1,0
24.46,19,2,gas_transport,0.173,0.076,4.5,1.18,2049,0,0,1,0
24.49,14,1,entertainment,0.017,0.189,16.2,0.76,2349,0,0,0,0
52.11,13,3,grocery,0.102,0.196,1.8,1.27,3228,0,0,1,0
220.0,16,2,gas_transport,0.166,0.413,1.3,1.03,1950,0,0,1,0
42.65,13,2,utilities,0.095,0.486,34.5,1.19,1530,0,0,1,0
89.63,1,1,entertainment,0.027,0.377,12.0,0.81,1350,0,0,0,0
103.3,8,2,grocery,0.095,0.356,4.7,0.67,1662,0,0,1,0
27.49,16,1,grocery,0.043,0.354,5.9,0.73,2598,0,0,1,0
17.18,15,4,utilities,0.276,0.065,7.7,0.89,1523,0,0,1,0
16.51,10,2,grocery,0.03,0.335,1.9,1.02,1258,0,0,0,0
37.63,10,3,grocery,0.045,0.01,4.0,1.6,847,0,0,0,0
91.66,19,2,dining,0.022,0.197,2.0,0.87,437,0,0,1,0
112.1,15,1,gas_transport,0.292,0.375,17.9,0.71,1650,0,0,0,0
92.13,16,2,electronics,0.05,0.147,15.2,0.98,2387,0,0,0,0
120.0,5,7,clothing,0.79,0.869,15.0,3.23,126,2,1,1,1
59.64,16,2,dining,0.238,0.089,13.4,0.97,3004,0,0,1,0
28.39,16,4,grocery,0.035,0.074,8.2,0.96,912,0,0,1,0
